Poduct Description,Price,Rating,TotalRates,ImgURL
"USNASLM Universal Car Phone Holder 360 Degree Rotating Flexible Mount Stand, for IPhone12 Easy One-Button Switch Car Mobile Phone Bracket",96,2.8,8,https://m.media-amazon.com/images/I/51-ZvncRO2L._AC_UL320_.jpg
Compatible with QCY T18 Mobile Phone Silicone Case with Snap (Black),86,,,https://m.media-amazon.com/images/I/41vkUmscUJL._AC_UL320_.jpg
"Firacer 18 in-1 Electronic Cleaning kit, with Mobile Phone Holder Electronic Cleaning Kit for PC.TV. Laptop.Earbud.Screen Keyboard Electronics Cleaning Kit. 2023 New Compact Design.",299,4.5,43,https://m.media-amazon.com/images/I/81g5oNt5DWL._AC_UL320_.jpg
"Bluetooth Earbuds Cleaning Brush 5 in 1,in-Ear Headphones Cleaning and Soft Dust Removal Brush Pen for Cleaning The Earwax,Dust in Bluetooth Headset Box,Camera and Mobile Phone(3 in 1 Style, White)",200,4.4,339,https://m.media-amazon.com/images/I/51-MAa8o1+L._AC_UL320_.jpg
"Nokia 106 Dual Sim, black",529,3.8,531,https://m.media-amazon.com/images/I/61rTSeWyUpL._AC_UL320_.jpg
"Nokia c1 2nd edition android smartphone, 1gb ram, 16 gb memory, 5.45 hd+, blue","1,615",2.8,83,https://m.media-amazon.com/images/I/81ejU1gSrxL._AC_UL320_.jpg
"Nokia G21 4gb ram, 128gb memory, finger print sensor - blue","4,099",3.5,91,https://m.media-amazon.com/images/I/71AQ3qEZ-VL._AC_UL320_.jpg
"Samsung Galaxy A03, Dual SIM, 4GB RAM, 64GB Storage, 6.5 Inches, LTE - Blue - 1 year Warranty","3,999",4.0,3,https://m.media-amazon.com/images/I/61oVY9YzPYL._AC_UL320_.jpg
"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 64GB Storage, 4GB RAM, Black - 1 year Warranty","4,999",3.4,19,https://m.media-amazon.com/images/I/81L701E6piL._AC_UL320_.jpg
"Nokia 106 Series 30, Cell Phone - Black",530,3.0,25,https://m.media-amazon.com/images/I/61aw5ZVzYcL._AC_UL320_.jpg
"Xiaomi Redmi Note 12 Dual SIM, 8GB RAM, 128GB ROM, 4G LTE- Onyx Gray","7,900",4.7,829,https://m.media-amazon.com/images/I/61p79A67kPL._AC_UL320_.jpg
"Nokia g21 android smartphone, dual sim, 4gb ram, 128gb memory, 6.5hd+ screen, 5050mah battery, android 12 ready, face unlock, finger print sensor - dusk","4,097",3.5,91,https://m.media-amazon.com/images/I/71i5cNn2o8L._AC_UL320_.jpg
"Xiaomi Redmi 12C dual SIM Smartphone, 6GB RAM, 128GB ROM - Ocean Blue","5,899",4.5,117,https://m.media-amazon.com/images/I/71oaL5maqBL._AC_UL320_.jpg
"Samsung galaxy m33, dual sim, 8gb ram, 128gb storage, 5g, blue - 1 year Warranty","8,899",4.1,156,https://m.media-amazon.com/images/I/719Zb5jJA9L._AC_UL320_.jpg
"Samsung Galaxy A14 LTE, 128GB Storage, 4GB RAM, Silver, Dual SIM, Android Smartphone - 1 year Warranty","6,099",3.9,22,https://m.media-amazon.com/images/I/81B66GxivHL._AC_UL320_.jpg
"SAMSUNG Galaxy A04 Dual SIM Smartphone- 3GB RAM, 32GB Storage, LTE, Black - 1 year Warranty","3,299",3.2,17,https://m.media-amazon.com/images/I/81JUZpUBL3L._AC_UL320_.jpg
"Nokia c10 android smartphone, dual sim, 2gb ram, 32gb memory, 6.51""hd+ lcd with v-notch, android 11, face unlock, proximity sensor - grey","2,345",3.2,100,https://m.media-amazon.com/images/I/81LrJ-Q-TgS._AC_UL320_.jpg
OPPO A78 256GB 8GB Smart Phone - Long Lasting battery Life - Mist Black,"8,070",1.0,1,https://m.media-amazon.com/images/I/71NpyTOZD8L._AC_UL320_.jpg
"Samsung Galaxy A14 - Android Smartphone, Dual SIM, 128GB Storage, 4GB RAM, 4G - Black - 1 year Warranty","5,500",3.3,25,https://m.media-amazon.com/images/I/81Hpc6Lw4pL._AC_UL320_.jpg
"Redmi 12 Hybrid Dual SIM, 8GB RAM, 256GB ROM - Midnight Black","7,428",4.5,2,https://m.media-amazon.com/images/I/51QBe2mJv8L._AC_UL320_.jpg
"Multifunction Cleaner Kit for Airpods, Black Bluetooth Airpod Case Pro 3 2 1 Earbuds Cleaning Tools, Multifunctional Cleaning Pen for Earphone, Tablets, Watch, Laptop, Mobile Phone, Camera for VR",72,4.0,217,https://m.media-amazon.com/images/I/61xNPU4UO5L._AC_UL320_.jpg
100W Type C to Type C Cable Supports Fast Charging Up to 100W Can Charge Mobile Phones and Laptops (Type C to Type C),167,4.4,17,https://m.media-amazon.com/images/I/61Aih7n4zrL._AC_UL320_.jpg
Waterproof Bag For Mobile Phone,31,4.5,5,https://m.media-amazon.com/images/I/61cceaKrIoL._AC_UL320_.jpg
"Aiivioll Mobile Phone Holder Laptop Desktop PC Side Magnet Aluminum Alloy Bracket Adjustable Laptop Extension Phone Holder, Fixed Clip on Flat and Slim Monitor or Laptop Monitor (black)",104,3.0,8,https://m.media-amazon.com/images/I/41-0bVFJtZL._AC_UL320_.jpg
"Samsung Galaxy A04e Dual SIM Smartphone - 3GB RAM, 64GB Storage, LTE, Copper - 1 year Warranty","3,900",3.9,20,https://m.media-amazon.com/images/I/81HjL17oavL._AC_UL320_.jpg
"Xiaomi Redmi 9A Dual SIM Mobile Phone, 13 MP Camera, 6.53 Inch Touch Screen, 2 GB RAM, 32 GB, 4G LTE - Granite Grey","3,190",4.2,"10,306",https://m.media-amazon.com/images/I/51pfuJYTZUL._AC_UL320_.jpg
Infinix smart 6-6.6in 32gb/2gb dual sim mobile phone - polar black,"3,190",3.9,23,https://m.media-amazon.com/images/I/61ZBAzOdPhL._AC_UL320_.jpg
"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 128GB Storage, 4GB RAM, Light Green - 1 year Warranty","5,444",2.2,12,https://m.media-amazon.com/images/I/713usF95E-L._AC_UL320_.jpg
"OPPO A78 256GB, 8GB RAM Smart Phone - Long Lasting battery Life - Aqua Green","8,029",,,https://m.media-amazon.com/images/I/61tl7PNht9L._AC_UL320_.jpg
"Nokia c1 2nd edition android smartphone, 1gb ram, 16 gb memory, 5.45 hd+, purple","1,615",2.8,83,https://m.media-amazon.com/images/I/71R7EImSi+L._AC_UL320_.jpg
"Xiaomi redmi a1+ - smartphone 32gb, 2gb ram, dual sim, black","3,399",3.8,60,https://m.media-amazon.com/images/I/71F3q4eTd+L._AC_UL320_.jpg
Nokia 105 dual (BLACK),538,3.1,165,https://m.media-amazon.com/images/I/61wKpZrdJXL._AC_UL320_.jpg
iTel it2160-1.77-inch Dual SIM Mobile Phone - Black,Out Of Stock,3.9,101,https://m.media-amazon.com/images/I/61RtxpBXOVL._AC_UL320_.jpg
"Nokia c10 android smartphone, dual sim, 2gb ram, 32gb memory, 6.51hd+ lcd with v-notch, android 11, face unlock, proximity sensor light purple","2,350",3.2,100,https://m.media-amazon.com/images/I/81te-myu0PS._AC_UL320_.jpg
"Realme 9i dual sim mobile phone, *6.6 inch, 128gb rom, 4gb ram - prism black","5,970",3.1,5,https://m.media-amazon.com/images/I/51xq3dAiGHL._AC_UL320_.jpg
NOKIA 105 Dual SIM (Black),530,4.0,"32,775",https://m.media-amazon.com/images/I/61LffJw7v4L._AC_UL320_.jpg
"Nokia 105 Dual Sim, 4MB 2G Phone, Black",538,2.2,76,https://m.media-amazon.com/images/I/61lhBBERORL._AC_UL320_.jpg
"Xiaomi Redmi 10 Dual SIM Mobile- 6.53 Inch FHD , 64GB, 4GB RAM, 4G LTE - Carbon Gray","5,873",4.3,"1,014",https://m.media-amazon.com/images/I/61XD99l0reL._AC_UL320_.jpg
"Realme 10 256GB 8GB RAM Rush Black, Bluetooth, Wi-Fi, USB","7,690",3.9,81,https://m.media-amazon.com/images/I/61eHj6VXGgL._AC_UL320_.jpg
"HUAWEI nova Y70 Smartphone, 6000 mAh Large Battery, 22.5W HUAWEI SuperCharge, 6.75 inches HUAWEI FullView Display, 48 MP AI Triple Camera, 128 GB Large Storage, CRYSTAL BLUE","6,335",3.9,42,https://m.media-amazon.com/images/I/61nFq6de+OL._AC_UL320_.jpg
"OPPO Reno 8T Dual SIM 6.43 inches Smartphone 256GB 8GB RAM 5000mAh Long Lasting Battery |Fingerprint and Face Recognition | 4G Android Phone Sunset Orange, Bluetooth, Wi-Fi, USB","10,650",3.8,17,https://m.media-amazon.com/images/I/61elxy1AgFL._AC_UL320_.jpg
"Samsung Galaxy A03, Dual SIM, 4GB RAM, 128GB Storage, 6.5 Inches, LTE, Black - 1 year Warranty","4,444",4.0,19,https://m.media-amazon.com/images/I/61L6ctjkrOL._AC_UL320_.jpg
"Infinix Smart 7 HD Dual SIM, 2GB Up To 4GB RAM, 64GB ROM - Ink Black","3,299",3.7,17,https://m.media-amazon.com/images/I/71DDL17EUML._AC_UL320_.jpg
Nokia 106-4 MB RAM Dual SIM Phone - Dark Gray,529,2.8,7,https://m.media-amazon.com/images/I/511m1pmjxVL._AC_UL320_.jpg
"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 64GB Storage, 4GB RAM, Light Green","4,999",2.9,10,https://m.media-amazon.com/images/I/81P0iQPc67L._AC_UL320_.jpg
Realme C53 Dual-SIM 128GB ROM + 6GB RAM 4G (Champion Gold) - Middle East Version,"6,170",4.1,33,https://m.media-amazon.com/images/I/71uqxJZTm-L._AC_UL320_.jpg
iTel it2160-1.77-inch Dual SIM Mobile Phone - Dark Blue,Out Of Stock,3.9,76,https://m.media-amazon.com/images/I/51fT5JS88FL._AC_UL320_.jpg
realme C53 Dual SIM 6GB RAM 128GB Mighty Black 4G LTE,"6,092",4.1,21,https://m.media-amazon.com/images/I/71TULGodSqL._AC_UL320_.jpg
"Realme C55 Dual SIM 8GB RAM 256GB Rainy Night 4G LTE, Bluetooth, Wi-Fi, USB","7,162",4.2,87,https://m.media-amazon.com/images/I/71z0GCE5GsL._AC_UL320_.jpg
"Xiaomi Redmi 10 Dual SIM Mobile- 6.53 Inch FHD, 64GB, 4GB RAM, 4G LTE - Pebble White","6,361",4.5,226,https://m.media-amazon.com/images/I/51Z7noNbifL._AC_UL320_.jpg
"Samsung Galaxy A54 Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Graphite - 1 year Warranty","13,599",4.1,49,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg
"Samsung galaxy s23+, 256gb memory, 8gb ram, phantom black, 5g mobile phone, dual sim, android smartphone, 1 year manufacturer warranty","33,899",4.5,25,https://m.media-amazon.com/images/I/616xeaUEdbL._AC_UL320_.jpg
"Realme C21Y International Blue, Bluetooth, Wi-Fi, USB","3,950",5.0,2,https://m.media-amazon.com/images/I/61GAf71rKIL._AC_UL320_.jpg
"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome White - 1 year Warranty","13,599",3.8,30,https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg
"Realme 9i Dual SIM Mobile Phone, *6.6 Inch, 128GB ROM, 6GB RAM - Prism Black","6,850",3.8,20,https://m.media-amazon.com/images/I/819YxPc1TOL._AC_UL320_.jpg
"realme 11 Pro 5G (Sunrise Beige, 8GB RAM, 256GB Storage) | 120 Hz Curved Display | 100MP Prolight Camera | 7050 5G Dimensity | 67W SUPERVOOC | 12GB Dynamic RAM | Premier Vegan Leather Finish Design","12,850",4.0,117,https://m.media-amazon.com/images/I/71HZ0tigFFL._AC_UL320_.jpg
"Laptop Magnetic Cell Phone Stand, Laptop Stands Phone Mount Universal Tablet Dock Foldable Aluminum Fixed Clip on Flat and Slim Monitor Enjoying Double Screen at The Same Time for Mobile Phone/iPad",104,3.5,5,https://m.media-amazon.com/images/I/61IOg7p1pEL._AC_UL320_.jpg
LDNIO LS441 Mobile Phone Cables 2.4A Fast Charging Micro USB Cable 1M - Grey,52,4.2,"1,008",https://m.media-amazon.com/images/I/51vreex1h1L._AC_UL320_.jpg
"LAB7 4 in 1 Sim Card Adapter Set Nano, Micro & Standard for Mobile Phones (White)",30,,,https://m.media-amazon.com/images/I/510AM2P1GXL._AC_UL320_.jpg
"LDNIO LS63 Mobile Phone 2.4A Fast Charging Lightning USB Cable, 1m - Red",132,3.0,1,https://m.media-amazon.com/images/I/31psOeZd-KL._AC_UL320_.jpg
